Komentar,Label,Rating
"Suasana sudah pasti oke, sejuk, menenangkan mata, pelayanan staff lapang nya oke, pilihan makanan banyak, harga tiket 20rb/orang (01 maret 2020) bs di tukar welcome drink, saran nya, untuk wahana outdorr bs di cat ulang supaya lebih fresh + tambah wahana untuk anak2, segitu dulu review nya, hatur nuhun.",1,5
"Penuuuuhhh...artinya org suka datang ke sini. Makanan minuman ok, Naik kuda keliling, foto ala koboy 馃憤馃憤",1,5
"Cocok untuk mengenakan anak anak pada berbagai jenis hewan, harga terjangkau, parkiran luas, susunya enak.",1,5
"Suasana yang nyaman tenang sejuk dan tidak berdesakan .. makanan dan fasilitas sangat baik, mushola dan toilet juga bersih .. welcome drink juga tersedia ..",1,5
"Cocok untuk berekreasi bersama keluarga/teman.Tempat nya nyaman,bersih,dan tertata rapih.Cocok untuk berswafoto dgn latar pemandangan gunung tangkuban parahu",1,5
Woooow tempat rekreasi yg amazing di bandung..sambil kuliner bisa menikmati pemandangan alam peternakan kuda yg cukup bagus untuk dikunjungi bersama keluarga...,1,5
"Berekreasi ala koboi bersama keluarga sangat menyenangkan. Anda dapat menaiki kuda sambil melihat pemandangan Lembang. Apabila anda membawa anak-anak, di sini disediakan tempat bermain yang sangat memuaskan hingga anak Anda mungkin tidak mau pulang 馃槃",1,5
"Pokonya suka sm tmpt wisata di lembang krna semuamuanya baguss, menarik, enakk. Bwt foto2 jg good laa. De ranch jg byk makanan & tmpt main. Pokoknya gk diragukan:) selama meja2 tmpt duduk & toilet bersih itu enak, krna gk jijik jg kan klo bersih:)",1,5
Tempat yg asik buat keluarga bisa menikmati alam terbuka sambil berkuda.,1,5
"Cocok untuk membawa keluarga baik anak anak maupu orangtua, makanan2 nya enak enak, dan pemandangan hijaunya bagus untuk dinikmati. Plus wahana wahana permainan yang menarik untuk anak anak yang lebih seru dan dengan harga yg lebih murah dari floating market.",1,5
Tempat favorite anak-anak buat bebas lari-lari dan naik kuda. Ada foodcourt dan playground juga,1,5
Ada pemandangan alam nya ada tmp mkn ada tmp lukis anak2 ada tmp jualan kuliner tahu baso bakso malang tmp parkir luas dan ada danau nya plus kuda nya,1,5
"Cocok banget buat liburan bareng keluarga, teman, pasangan, dll. 馃憤",1,5
D鈥檙anch destinasi wisata ledua ditahun baru Setiap tiketnya dibanrol 25.000 rata rata Belum termasuk tiket masuknya Yapi worth it sih utk mainan anak anak disana banyak Makananya juga enak enak Bagi anda yg ingin berkuda dibandung yaa ini tempatnya de鈥橰ANCH,1,5
"Bagus, lebih bagus lagi kalo pas ga hujan. Banyak tempat main buat anak2 cocok banget",1,5
disini anda sekeluarga bisa mendapatkan pengalaman naik kuda dan bisa diabadikan seperti Hero..,1,5
"Tempat rekreasi ala koboy, bikin anak2 kita bisa berinteraksi dengan hewan2 yg ad di sini..",1,5
"Wisata keluarga yang cukup nyaman. Nisa wisata hewan ternak seperti Kuda, Sapi dll. Banyak juga permainan untuk Anak anak. Makanannya juga bervariasi. Harga sangat terjangkau mengingat butuh biaya besar untuk merawat hewan hewan tersebut.",1,5
Tempat aktivitas yg berhubungan dgn kuda.....anak2 selalu senang kemari,1,5
Tempatnya pas untuk liburan. Ada banyak wahana yang bisa dipilih dan harganya terjangkau. Untuk makanan juga sangat banyak yang jualan tapi sedikit pricey dan rasanya ada yang lumayan ada juga yang ga enak. Lokasinya agak jauh dari kota sehingga butuh waktu untuk sampai tempat tujuan.,1,5
"Kalo dapat spot foto yg bagus. Pasti keren hasilnya. Soklah. Klo yg lg di Bandung, mampir ke sini. Yg blm pny jodoh, siapa tw dapat jodoh d sini. Awas jodoh org lain di ambil. Wkwkw",1,5
"Tempat main yg asik, murah dan nyaman...dari pagi bisa sampe.sore disini karena saking betah nyaa",1,5
"Tempat nya bagus, banyak kulinernya. Disana juga bisa keliling sambil menunggangi kuda langsung. Dan ada tempat untuk penyewaan kostum koboi.",1,5
Wahana permainan nya lumayan seruuu. Ada makanan & cemilan yg enak,1,5
Tempat kunjungan bersama keluarga yang sangat berkesan khususnya naik kuda. Dan lokasinya cukup nyaman.,1,5
Nice place...sukaaa..petugas ramah..viewnya bagus..wahananya cukup banyak..tempat bersih&terawat..makanan murah&enakkkkk..ada yg jual bunga hias juga..,1,5
"Tempatnya nyaman dan luas, baiknya datang senin - jumat atau di luar dari high season agar benar2 bisa menikmati udara dan peternakan dengan puas.",1,5
tempatnya bagus..ada kursi roda untuk lansia..dan gratis..apalagi dapat minuman susu segar untuk 1 ticket masuk,1,5
"Mostly buat anak kecil.. kita2 yg yound adult mesti milih dulu. Cm bs panahan, crossbow, naik kuda, atau ngasih makan binatang.. tapi pemandangan baguus. Makanan banyak. Bersih juga",1,5
"Tempat wisata yang lengkap dan cukup luas, bisa menunggang kuda di padang rumput, trampolin, dan masih banyak permainan lainnya, tiket masuknya juga cukup murah dan bisa dituker dengan susu",1,5
Toiletnya jorok sekaliii... Layanan biasa dan wahana so-so saja,0,1
